,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
4/18/2015,0,0,66,0,0,0,0,105,0,148,211,0,0,0,0,0,4,174,0,119,0,55,1,166,13,280,0,21,0,167,5,0,646,51,0,5,1,182,90,12,1,37,0,0,2,165,396,0,3,50,10,0,0,64,35,0,23,93,0,0,0,640,5153,0,0,20,0,0,102,0,0,89,11,275,114,0,0,0,30,13,0,0,143,121,0,0,1,0,0,227,0,0
4/25/2015,0,0,8,0,0,0,0,87,0,425,61,0,0,0,0,0,3,209,0,114,0,27,2,60,147,16,0,0,0,368,53,0,124,262,0,1,603,327,125,43,1,19,0,0,9,3,137,0,399,35,7,0,0,28,75,0,127,1541,0,0,0,22,2117,310,0,23,0,0,440,0,0,31,258,571,132,0,0,0,1006,3,0,0,14,327,0,0,0,0,0,35,0,0
5/2/2015,0,1,20,0,0,0,1,222,13,792,57,0,0,0,0,0,5,64,0,42,0,234,2,281,18,1503,0,0,0,295,25,0,0,3,0,3,1,127,26,0,100,24,0,0,4,41,8,0,2,30,13,0,0,6,150,0,57,131,0,0,0,55,610,75,0,31,0,0,306,0,0,27,82,2,180,0,0,0,5934,0,0,0,11,3,3,0,1,0,0,8,0,0
5/9/2015,0,0,42,0,0,0,0,11,8559,795,1,0,0,0,0,0,3,49,0,75,1,303,0,205,9,89,0,0,0,251,70,0,61,2,0,12,11,251,111,0,35,234,0,0,21,2,126,0,287,1,14,0,1,70,27,0,104,164,0,0,0,297,2044,0,0,84,0,0,84,0,0,64,5,319,60,0,0,0,944,5,0,0,265,184,1,0,1,0,0,594,0,0
5/16/2015,0,0,146,0,1,0,0,26,2498,222,123,0,0,0,0,0,3,86,0,76,0,59,0,0,40,334,0,0,1,85,124,0,204,12,0,1,0,-2,62,20,0,2,0,0,5,5,253,0,39,218,2,0,0,58,64,0,105,21,0,0,0,182,510,0,0,65,0,0,0,0,0,27,571,120,375,0,0,0,526,74,0,0,348,12,0,0,2,1,0,107,0,0
5/23/2015,0,0,92,0,0,0,0,176,20,968,71,0,0,0,0,0,3,58,0,133,3,54,1,1,0,15,0,20,0,174,121,0,72,26,0,26,0,-1,10,52,41,0,20,0,3,5,324,0,5,1,23,0,0,21,33,0,13,57,0,0,0,74,260,0,0,81,0,0,50,0,0,33,266,39,102,0,0,0,180,20,0,0,1,23,0,0,4,0,0,108,0,0
5/30/2015,0,1,114,0,2,0,0,21,44,169,80,0,0,0,0,0,6,136,0,80,3,153,0,188,3,170,0,0,5,103,25,0,293,7,0,1,0,116,11,28,61,308,0,0,1,356,109,0,7,1,18,0,1,11,58,0,18,204,0,0,0,7,283,0,0,50,0,0,96,0,0,45,8,209,114,0,0,0,132,1,0,0,45,44,0,0,2,9,0,144,0,0
6/6/2015,0,0,49,0,0,0,0,16,419,983,54,0,0,0,0,0,4,112,0,16,1,52,3,0,12,103,0,0,0,122,19,0,57,7,0,1,1,272,113,51,529,20,40,0,8,9,56,0,41,14,29,2,0,11,49,0,18,17,0,0,0,161,359,0,0,120,0,0,27,0,0,8,87,7,40,0,0,0,198,125,0,0,25,51,0,0,0,1,0,201,0,0
6/13/2015,0,1,66,0,1,0,0,115,60,223,61,0,0,0,0,0,2,183,0,17,0,135,0,3,20,123,0,0,0,1689,17,0,48,35,0,0,0,188,72,49,19,2,160,0,17,70,2,0,31,25,15,1,0,52,90,0,38,146,0,0,0,923,262,2,0,42,0,0,31,0,0,92,7,197,844,0,0,0,61,649,0,0,26,11,0,0,0,0,0,106,0,0
6/20/2015,0,0,3,0,0,0,0,64,4,1441,60,0,0,0,0,0,4,41,0,23,0,361,0,26,0,51,0,0,0,64,13,0,193,38,0,19,7,20,16178,0,299,43,1,0,4,3,273,0,0,140,6,0,0,22,101,0,27,11,0,0,0,711,827,35,0,136,0,0,30,0,0,45,4,8,151,0,0,0,46,32,0,0,160,34,0,0,0,0,0,60,0,0
6/27/2015,0,0,2,0,0,0,0,96,0,258,61,0,0,0,0,0,5,33,0,53,0,98,7,50,9,94,0,0,0,99,188,0,112,58,0,2,1,3,6,15,0,0,19,0,20,1,350,0,5,26,7,0,0,10,49,0,24,80,0,0,0,113,521,0,0,30,0,0,2,0,0,10,11,265,27,0,0,0,513,0,0,0,8,114,0,0,0,0,0,-28,0,0
7/4/2015,0,0,15,0,0,0,0,177,12,328,35,0,0,0,0,0,18,3,0,69,0,114,0,23,26,2969,0,0,0,-12,21,0,9,-25,0,2,30,192,30,40,11,3,0,0,7,53,156,0,26,3,13,0,0,29,83,0,103,165,0,0,0,0,456,185,0,14,0,0,7,0,0,77,260,92,31,0,0,0,41,0,0,0,34,24,0,0,1,0,0,87,0,0
7/11/2015,-1,0,129,0,0,0,0,4,555,390,43,0,0,0,0,0,4,5,0,117,4,283,0,140,19,614,0,1,3,-49,111,0,89,8,0,7,0,2,102,0,0,163,0,0,1,30,209,0,34,20,13,2,2,24,232,0,13,137,0,0,0,40,1224,0,0,25,0,0,10,0,0,55,33,309,53,0,0,0,1,30,0,0,74,161,0,0,0,0,0,50,0,0
7/18/2015,0,1,39,0,0,0,0,1,12,369,93,0,0,0,0,0,6,8,0,60,0,138,0,120,12,1397,0,3,0,304,40,0,80,22,0,12,1,126,212,53,140,-1,3,0,17,503,130,0,2,3,3,0,1,22,129,0,91,83,0,0,0,1074,793,11,0,28,0,0,1,0,12,31,2,1,119,0,0,0,18,10,0,0,46,31,0,0,9,1,0,45,0,0
7/25/2015,0,0,27,0,0,0,0,71,305,620,131,0,0,0,0,0,8,-2,0,120,0,28,1,2,338,505,0,0,0,30,11,0,1131,52,0,35,325,635,126,12,79,13,0,0,5,201,98,0,3,32,28,0,1,28,49,0,225,190,0,0,0,326,2776,0,0,74,0,1,22,0,28,55,8,34,231,0,0,0,91,101,0,0,54,43,0,0,0,0,0,5,0,0
8/1/2015,0,0,38,0,4,0,0,232,58,190,80,0,0,0,0,1,9,-2,0,101,0,79,7,139,38,1426,0,0,0,26,65,0,23,83,0,0,5,1,9216,6,2,28,3,0,32,3,956,0,22,27,74,0,3,62,46,0,125,53,0,0,0,438,168,0,0,21,0,0,37,0,0,79,236,147,180,0,0,0,490,3,0,0,19,196,0,0,0,0,0,51,0,0
8/8/2015,0,1,66,0,0,0,0,55,1139,138,55,0,0,0,0,0,3,-2,0,58,0,227,0,51,10,892,0,0,0,1067,98,0,48,74,0,0,45,2,129,10,75,20,-4,0,3,299,825,0,4,209,39,0,0,23,430,0,103,79,0,0,0,204,2498,14,0,59,0,0,288,0,0,27,26,138,88,0,0,0,79,1,0,0,50,14,0,0,7,0,0,110,0,0
8/15/2015,0,0,124,0,0,0,0,181,1840,808,89,0,0,0,0,0,20,-1,0,16,0,207,0,61,152,932,0,0,0,922,132,0,316,128,0,0,43,520,87,13,195,1,12,0,1,1,157,0,46,0,14,1,0,58,93,0,63,183,150,0,0,633,1630,0,0,139,0,0,310,0,0,207,287,503,110,0,0,0,110,151,0,0,71,68,0,0,0,0,0,84,0,0
8/22/2015,0,0,13,0,1,0,0,85,208,361,78,0,0,0,0,0,9,0,0,122,0,29,1,259,67,753,0,0,0,1071,152,0,93,81,0,2,29,36,108,1,30,28,0,0,8,0,465,0,357,40,9,2,0,65,22,0,76,30,0,0,0,967,2585,0,0,33,0,0,45,0,0,31,136,409,156,0,0,0,292,4,0,0,116,8,0,0,7,0,0,121,0,0
8/29/2015,0,0,14,0,2,0,0,80,624,2323,94,0,0,0,0,0,9,-1,0,72,0,160,1,5,240,544,0,0,0,1247,215,0,184,65,0,0,131,118,11,23,0,37,6,0,6,0,123,0,15,22,47,0,5,61,313,0,64,136,0,0,0,1592,4748,2,0,25,0,0,106,0,0,13,23,220,338,0,0,0,461,10,4,0,144,116,0,0,2,0,0,128,0,0
9/5/2015,0,0,19,0,0,0,0,155,1115,598,65,0,0,0,0,0,7,0,0,95,4,250,0,504,10,1030,0,50,0,1100,118,0,163,109,0,0,20,76,18,60,1,24,10,0,20,47,118,0,25,5,22,0,0,40,86,0,126,54,0,0,0,622,628,0,0,38,0,0,204,0,0,25,31,144,146,0,0,0,726,122,0,0,340,61,0,0,0,0,0,69,0,0
9/12/2015,0,0,46,0,0,0,0,0,1360,496,117,0,0,0,0,0,7,0,500,10,0,23,0,202,1,815,0,0,2,437,135,0,252,49,0,1,147,133,5,2,0,12,14,0,4,1253,112,0,4,149,16,0,1,29,194,0,56,189,0,0,0,537,829,0,0,31,0,0,66,0,0,13,421,6,296,0,0,0,302,1,0,0,1536,22,0,0,0,0,0,232,0,0
9/19/2015,0,0,13,0,0,0,0,12,580,290,47,0,0,0,0,0,16,0,1,22,6,81,1,246,6,265,4,0,0,944,7,0,106,55,0,4,92,112,101,0,540,45,1,0,7,18,133,1040,6,100,88,0,9,75,95,0,85,31,0,0,0,562,2264,146,0,70,1,0,60,0,0,65,4,12,232,0,0,0,779,14,0,0,132,35,0,0,0,0,0,58,0,0
9/26/2015,0,0,44,0,0,0,0,107,3090,694,95,0,0,0,0,0,8,0,0,36,0,181,0,55,11,1406,6,0,2,193,139,0,165,83,0,0,21,6,11911,0,175,76,4,0,34,11,48,0,56,28,23,1,0,10,46,0,219,128,0,0,0,451,1,0,0,38,1,0,147,0,0,124,90,115,201,0,0,0,395,30,0,0,83,38,0,0,8,1,0,241,0,0
10/3/2015,0,0,35,0,0,0,0,336,417,532,1,0,0,0,0,1,9,0,0,120,0,215,0,130,11,986,4,0,0,629,29,0,123,33,0,1,219,331,102,56,1,6,12,0,9,10,605,0,58,2,18,0,0,16,49,0,91,165,0,0,0,1591,2760,0,0,26,0,0,74,0,0,35,206,60,444,1,0,0,699,21,0,0,240,11,0,0,6,0,0,151,0,0
10/10/2015,0,0,41,0,0,0,0,82,3984,560,4,0,0,0,0,0,16,0,0,69,0,82,2,47,8,1878,1,0,0,158,87,0,206,43,0,0,387,128,82,0,24,179,16,0,13,1215,286,0,37,30,6,0,0,50,33,0,102,100,0,0,0,907,1860,1,0,35,0,0,73,0,0,41,87,92,76,0,0,0,628,0,0,0,0,47,0,0,0,1,0,100,0,0
