,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
1/23/2015,0,0,0,0,0,0,0,385,0,141.25,72,0,0,0,0,0,0,21.9,0,6.7,0,64.35,0,0,6.65,3823.75,0,0,0,905.02,26.8,0,445,21.2,0,0,144,1253.5,1.8,0,0,0,0,0,70,511,525,0,13.91,0,50.85,0,0,36.5,35.7,0,38.13,8.5,0,0,0,0,132,0,0,21.5,0,0,49.5,0,0,223.2,-15.6,1298,18.7,0,0,0,1316.6,9.6,0,0,0,0,0,0,18,0,0,39,0,0
1/24/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2015,0,0,4.95,0,0,0,0,96.25,0,666.7,448.56,0,0,0,0,30,196,160.6,0,33.5,0,228.8,0,637.2,0,37376.15,0,0,22,35.8,288.1,0,1176.85,0,0,27.44,230.4,69,141,0,0,0,0,0,0,25.55,2278.5,0,83.46,275,67.8,0,60,1642.5,0,0,13.95,391,0,0,0,0,739.32,0,0,133.95,0,0,99,0,0,234,15.6,462,197.46,0,0,0,2131.5,1248,0,0,9.51,41.73,0,0,0,0,0,46.8,0,0
1/27/2015,0,0,2.77,0,22,0,0,165,11.7,429.4,180,0,0,0,0,0,49,258.86,0,6.7,0,14.3,0,0,8.18,19.8,0,0,0,183.92,0,0,400.5,0,0,13.72,0,-1886,52.35,480.5,0,57,0,0,0,219,3150,0,584.22,0,84.75,0,0,0,803.25,0,13.95,25.5,0,0,0,0,0,0,0,172,0,0,287.1,0,0,72,19.19,484,254.34,0,0,0,5800,192,0,0,63.4,278.2,0,0,18,0,0,0,0,0
1/28/2015,0,0,27,0,0,0,0,0,0,316.4,612,0,0,0,0,0,0,339.74,0,49.98,25,185.9,0,0,332.5,107.05,0,0,0,109.58,6.7,0,0,10.6,0,0,7.2,-537.05,30,0,0,0,0,0,0,4015,0,0,264.29,495,474.6,0,0,0,17.85,0,63.29,714,0,0,0,0,0,0,0,43,0,0,44.55,0,0,0,15.6,22,42.5,0,0,0,2617.25,354.3,0,0,38.04,55.64,-45,0,18,0,0,0,0,0
1/29/2015,0,0,76.5,0,0,0,0,0,0,686.2,1844.28,0,0,0,0,0,0,496.4,0,533.84,0,337.1,0,17.7,0,599.4,0,0,0,1081.16,143.7,0,542.9,10.6,0,0,1872,353.75,0,0,0,57,0,0,70,142.35,280.24,0,347.75,275,135.6,0,0,255.5,678.3,0,176.7,8.5,0,0,0,0,0,0,0,451.5,0,0,2425.5,0,0,88.56,577.2,1812.36,1453.5,0,0,0,725,0,0,0,50.72,1112.8,0,0,0,0,0,830.25,0,0
1/30/2015,0,0,20.25,0,0,0,0,27.5,0,694.5,108,0,0,0,0,0,147,102.2,0,41.74,0,150.15,0,0,53.2,-128.8,0,0,0,0,6.7,0,11981.45,63.6,0,30.6,57.6,0,0,15.5,0,0,0,0,0,1102.3,0,0,111.28,2750,33.9,0,0,0,3819.9,0,5.72,0,0,0,0,0,0,0,0,322.5,0,0,222.75,0,0,0,0,1002.98,8.5,0,0,0,3117.5,0,0,0,6.34,274.87,0,0,0,0,0,0,0,0
1/31/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
