,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
5/30/2015,0,30,257.02,0,54.12,0,0,288.75,92.4,991.34,2888.28,0,0,0,0,0,294,992.8,0,540.36,75,1093.95,0,3327.6,24.54,1402.46,0,0,110,737.48,199.43,0,2652.15,87.79,0,13.72,0,1336.65,20.49,498.26,771.65,5852,0,0,70,1299.4,579.51,0,97.37,13.31,305.1,0,30,401.5,1039.41,0,99.47,1734,0,0,0,44.45,622.6,0,0,1084.47,0,0,475.2,0,0,817.56,124.8,4602.62,970.79,0,0,0,957,11.81,0,0,142.65,635.96,0,0,44.28,185.13,0,1180.48,0,0
6/6/2015,0,0,110.81,0,0,0,0,220,796.54,5583.55,2068.83,0,0,0,0,0,207.27,836.08,0,122.6,25,371.8,90,0,79.8,833.13,0,0,0,898.3,128.96,0,568.8,74.2,0,16.88,7.2,3157.75,177.28,790.5,6691.85,380,774,0,560,32.85,294,0,570.31,181.2,495.75,40,0,410.53,874.65,0,85.84,144.5,0,0,0,1022.35,861.44,0,0,2590.27,0,0,133.65,0,0,160.56,1357.2,154,398.38,0,0,0,1445.64,1200,0,0,79.25,715.81,0,0,0,20.57,0,1567.8,0,0
6/13/2015,0,30,149.06,0,27.45,0,0,1581.25,114,1296.35,2213.82,0,0,0,0,0,98,1335.9,0,122.2,0,965.25,0,53.1,133,1051.84,0,0,0,12130.41,113.9,0,429.4,373.62,0,0,0,2167.7,111.7,778.7,240.35,38,3096,0,1190,255.5,10.5,0,431.21,275,262.65,20,0,1907.03,1606.5,0,182.45,1241,0,0,0,5974.09,607.18,3.12,0,913.64,0,0,153.45,0,0,1664.92,109.2,4399.4,7249.6,0,0,0,549.65,6232.78,0,0,82.42,153.01,0,0,0,0,0,834.52,0,0
6/20/2015,0,0,7.87,0,0,0,0,880,9.48,8168.25,2168.91,0,0,0,0,0,196,317.4,0,157.42,0,2581.15,0,460.2,0,430.45,0,0,0,518.42,90.42,0,1722.1,455.2,0,260.68,50.4,275.6,24271.44,0,3782.35,817,19.35,0,280,10.95,1530.75,0,0,1540,101.7,0,0,803,1833.79,0,130.15,93.5,0,0,0,4514.85,1978.7,49.95,0,2945.28,0,0,148.5,0,0,810,62.4,181.45,1283.5,0,0,0,333.5,309.58,0,0,507.2,476.38,0,0,0,0,0,468,0,0
6/27/2015,0,0,3.97,0,0,0,0,1320,0,1477.65,2297.52,0,0,0,0,0,245,242.62,0,381.79,0,700.7,210,885,58.29,786.94,0,0,0,764.28,1269.02,0,996.8,624.76,0,27.44,7.2,42.6,10.75,232.5,0,0,367.65,0,1400,3.65,1960.5,0,69.55,286,118.65,0,0,373.58,996.16,0,125.77,680,0,0,0,874,1146.2,0,0,650.05,0,0,9.9,0,0,184.23,178.94,5850.68,247.5,0,0,0,3736.25,0,0,0,25.36,1853.88,0,0,0,0,0,-190.95,0,0
7/4/2015,0,0,35.34,0,0,0,0,2433.75,22.8,1874.48,1276.92,0,0,0,0,0,882,30.5,0,492.13,0,815.1,0,407.1,204.1,23900.45,0,0,0,-80.88,140.7,0,82.19,-265,0,27.44,216,2251.2,52.7,623.64,139.15,57,0,0,490,193.45,819,0,361.66,33,224.33,0,0,1058.5,1485.74,0,487.67,1402.5,0,0,0,0,1003.2,231.25,0,306.05,0,0,34.65,0,0,1398.69,4056,2080.87,267.5,0,0,0,314.25,0,0,0,107.78,333.84,0,0,22.23,0,0,678.6,0,0
7/11/2015,-30,0,290.25,0,0,0,0,55,1150.3,2242.7,1566.72,0,0,0,0,0,196,45.55,0,787.22,100,2023.45,0,2478,131.3,4948.67,0,22,66,-348.98,743.7,0,792.1,90.32,0,96.04,0,25.99,171.4,0,0,3097,0,0,70,109.5,1173.9,0,472.94,220,220.35,40,60,885.49,4141.2,0,61.6,1164.5,0,0,0,254,3105.3,0,0,537.5,0,0,49.5,0,0,990,518.47,6837.5,463.1,0,0,0,7.25,288,0,0,234.58,2242.95,0,0,0,0,0,390,0,0
7/18/2015,0,30,88.34,0,0,0,0,13.75,27.7,2089.26,3348,0,0,0,0,0,294,75.5,0,419.4,0,986.7,0,2124,85.12,11248.1,0,66,0,2176.64,268,0,740.8,250.81,0,189.63,7.2,1451.99,320.37,821.5,1771,-19,58.05,0,1190,1835.95,682.5,0,27.82,35.86,50.85,0,30,803,2469.69,0,476.39,705.5,0,0,0,6819.9,1744.6,17.05,0,613.18,0,0,4.95,0,300,567.72,31.2,27.72,1053.83,0,0,0,155.56,96,0,0,145.82,434.83,0,0,162,20.57,0,371.3,0,0
7/25/2015,0,0,68.91,0,0,0,0,976.25,579.5,3523.4,4748.4,0,0,0,0,0,392,-14.6,0,814.05,0,200.2,30,35.4,2255.7,4065.25,0,0,0,214.8,75.71,0,10065.9,551.2,0,480.2,2340,7305.72,188.55,190.34,999.35,247,0,0,350,733.65,519.24,0,41.73,352,484.78,0,30,1043.9,896.09,0,1044.85,1615,0,0,0,2071.88,6140.2,0,0,1603.9,0,25,108.9,0,700,995.04,124.8,748,2432.53,0,0,0,659.75,969.6,0,0,171.18,598.13,0,0,0,0,0,39,0,0
8/1/2015,0,0,94.47,0,88,0,0,3190,116,1080.46,2913.21,0,0,0,0,30,441,-14.6,0,715.84,0,564.85,210,2460.3,252.7,11479.3,0,0,0,188.36,435.5,0,204.7,915.66,0,0,36,11.5,13832.28,93,25.3,532,58.05,0,2240,10.95,5019,0,306.02,297,1306.4,0,90,2274.22,821.1,0,581.25,450.5,0,0,0,2791.05,370.96,0,0,451.5,0,0,183.15,0,0,1422,3681.6,3342.32,1532.61,0,0,0,3552.5,28.8,0,0,60.23,2726.36,0,0,0,0,0,397.8,0,0
